"country","year","ca_balance_perGDP","gov_revenue_perGDP","gdp_per_capita_usd","military_expenditure_usd"
"The Bahamas",2020,-23.552,18.397,23862.7109929122,NA
"The Gambia",2020,-2.962,22.979,704.029916035493,14805015.9297537
"Timor-Leste",2020,-14.271,42.141,1660.30833959898,38456000
"Togo",2020,-0.274,16.238,897.194575433309,163926877.161277
"Tonga",2020,-5.329,44.203,4606.06455169288,NA
"Trinidad and Tobago",2020,-6.441,23.038,13871.7982194664,171301906.310034
"Tunisia",2020,-5.892,25.448,3497.68141046011,1157372367.01178
"Turkey",2020,-4.428,28.854,8561.07094781987,17478413685.2698
"Turkmenistan",2020,2.589,11.441,NA,NA
"Tuvalu",2020,17.422,138.63,4973.77456126816,NA
"Uganda",2020,-9.468,13.918,846.767201292225,984759731.680869
"Ukraine",2020,3.303,39.682,3751.74072265625,5924200880.3055
"United Arab Emirates",2020,6.038,28.662,37629.1741687956,NA
"United Kingdom",2020,-3.2,36.86,40318.5575660493,60675039625
"United States",2020,-2.942,30.815,63530.633483909,778397200000
"Uruguay",2020,-0.906,28.124,15619.5426555695,1091535359.61401
"Uzbekistan",2020,-4.994,25.46,1749.65581532206,NA
"Vanuatu",2020,7.892,41.429,2877.52017323582,NA
"Venezuela",2020,-3.492,4.298,NA,NA
"Vietnam",2020,4.349,18.39,3586.34730171843,NA
"West Bank and Gaza",2020,-12.25,25.258,NA,NA
"Yemen",2020,-8.864,6.805,NA,NA
"Zambia",2020,10.613,20.299,956.831363865706,212142427.391566
"Zimbabwe",2020,2.524,13.275,1372.69667433317,8622459.83379501
