country,Trade Balance (% of GDP),Government Revenue (% of GDP),GDP per Capita (in USD),Military Expenditure (in million USD),Int'l Tourist Arrivals,Dog Ownership,Cat Ownership,Bird Ownership,Aquaria Ownership,Smal Mammal Ownership,Terraria Ownership,Movie Production,Global Box Office (in USD),Air Quality,Hapiness Score,Life expectancy at birth,Mean years of schooling,Income per capita,Gender Inequality Index
Micronesia,1.06,68.03,3123.27,,,,,,,,,1,0,7.79,,70.7,7.8,"3,696",  
Moldova,-13.12,33.52,13226.4,52.29,29000,,,,,,,4,"64,211",12.37,5.819,68.8,11.8,"14,875",0.205
Monaco,,,,,159000,,,,,,,7,"6,056,333",9.21,,85.9,  ,  ,  
Mongolia,-15.76,35.17,11832.14,108.26,66900,,,,,,,19,"14,692,708",41.3,5.84,71,9.4,"10,588",0.313
Montenegro,-13.35,38.09,21958.1,98.63,351000,,,,,,,5,"7,833,027",19.3,5.722,76.3,12.2,"20,839",0.119
Morocco,-4.32,25.93,8365.89,5378.37,2802000,,,,,,,39,"229,669,117",13.44,4.903,74,5.9,"7,303",0.425
Mozambique,-35.98,29.16,1243.07,248.48,,,,,,,,2,"2,467",16.45,4.954,59.3,3.2,"1,198",0.537
Myanmar,-1.38,13.25,4104.77,2107.82,903000,,,,,,,6,"1,625,005",27.16,4.372,65.7,6.4,"3,851",0.498
Namibia,-13.46,30.06,9245.37,401.86,187100,,,,,,,4,"34,034,218",11.81,4.631,59.3,7.2,"8,634",0.445
Nauru,-0.55,155.9,9337.71,,,,,,,,,,,7.4,,63.6,  ,"17,730",  
Nepal,-12.89,23.48,4039.86,445.2,230000,,,,,,,31,"1,893,678",36.43,5.36,68.4,5.1,"3,877",0.452
Netherlands,5.49,43.52,59253.15,13752.01,7265000,1500000,1900000,230000,339000,346000,59000,571,"1,405,513,353",10.74,7.403,81.7,12.6,"55,979",0.025
New Zealand,-8.88,38.99,43921.81,3389.85,996000,,,,,,,290,"7,413,412,918",8.61,7.123,82.5,12.9,"44,057",0.088
Nicaragua,-2.22,27.04,6081.46,77.92,474000,,,,,,,4,0,16,6.259,73.8,7.1,"5,625",0.424
Niger,-15.53,15.03,1276.56,202.4,85000,,,,,,,1,0,50.15,4.501,61.6,2.1,"1,240",0.611
Nigeria,-0.72,8.79,5004.24,4466.4,,,,,,,,88,"865,925",55.64,4.981,52.7,7.2,"4,790",0.68
North Korea,,,,,,,,,,,,,,41.46,,,,,
North Macedonia,-5.96,30.43,16982.98,214.59,118000,,,,,,,,,25.17,5.254,73.8,10.2,"15,918",0.134
Norway,30.36,60.92,66405.27,8251.72,1397000,494000,783000,195000,125000,169000,94000,232,"279,467,901",6.3,7.315,83.2,13,"64,660",0.016
Oman,3.25,35.36,34936.04,5783.62,869000,,,,,,,1,0,34.88,,72.5,11.7,"27,054",0.3
Pakistan,-4.62,12.06,5661.69,11304.83,,,,,,,,68,"16,413,610",50.13,4.555,66.1,4.5,"4,624",0.534
Palau,-69.61,41.88,12302.17,,18400,,,,,,,1,"443,291",7.82,,66,12.5,"13,819",  
Panama,-4.12,18.84,31620.89,0,647000,,,,,,,12,"305,439,992",11.78,6.265,76.2,10.5,"26,957",0.392
Papua New Guinea,34.01,15.8,3626.3,88.72,39000,,,,,,,3,"2,287,136",8.89,,65.4,4.7,"4,009",0.725
Paraguay,-5.18,20.18,12325.05,372.6,1077000,,,,,,,17,"165,740,252",12.31,5.738,70.3,8.9,"12,349",0.445
Peru,-4.49,21.77,12979.36,2360.61,1119000,,,,,,,44,"96,900,282",29.07,5.526,72.4,9.9,"12,246",0.38
Philippines,-4.41,21.58,8890.19,4090.52,1483000,11600000,,,,,,173,"128,111,926",22.45,5.523,69.3,9,"8,920",0.419
Poland,-3.15,41,36824.34,13710.68,,8019000,7125000,1144000,380000,1217000,215000,359,"715,259,903",18.83,6.26,76.5,13.2,"33,034",0.109
Portugal,-1.34,43.75,36107.3,4908.94,4208000,2605000,1795000,641000,83000,218000,39000,364,"65,204,952",7.34,5.968,81,9.6,"33,155",0.067
Puerto Rico,,21.86,35267.28,,3882000,,,,,,,21,"4,652,889",,,,,,
