country,trade_balance_perGDP,gov_revenue_perGDP,GDP per capita (in USD),military_expenditure_mil,number-of-visitors,dog,cat,bird,aquaria,small-mammal,terraria,number-of-movies,global-box-office-usd
Greece,-9.68,51.53,31258.86,8079.94,7406000,657000,608000,974000,90000,417000,6000,101,"8,42,87,917"
Grenada,-17.74,33.78,15885.85,,217000,,,,,,,,
Guatemala,1.84,12.84,8489.05,341.78,594000,,,,,,,9,"10,69,363"
Guinea,-6.21,13.1,2548.89,244.56,,,,,,,,,
Guinea-Bissau,-5.85,16.04,2449,26.34,,,,,,,,1,0
Guyana,27.27,15.37,36162.44,70.7,86400,,,,,,,,
Haiti,-2.34,8.01,2677.36,20.91,,,,,,,,7,"41,873"
Honduras,-3.43,25.11,5786.05,438.11,669000,,,,,,,1,0
Hong Kong SAR,10.73,20.94,58566.56,,3569000,,,,,,,,
Hungary,-8.15,43.89,35608.22,2777.13,31641000,2172000,2388000,412000,90000,398000,60000,142,"57,05,85,777"
Iceland,-1.54,41.8,56330.58,0,488000,,,,,,,79,"14,54,15,983"
India,-2.61,19.2,7054.26,76598.03,,10200000,,,,,,"2,565","8,18,30,21,385"
Indonesia,1,15.2,12438.76,8259.28,4053000,,,,,,,75,"1,84,34,789"
Iraq,11.62,41.42,10435.97,4728.17,,,,,,,,15,"3,04,301"
Ireland,8.8,23.31,113308.75,1267.74,,,355000,92000,27000,162000,20000,370,"1,36,46,56,372"
Iran,4.74,8.27,15782.71,24589.09,1550000,,,,,,,105,"8,58,76,861"
Israel,3.65,37.01,44335.46,24340.98,,,,,,,,231,"12,79,38,263"
Italy,-0.73,48.79,43910.3,32006.14,38419000,8755000,10228000,12882000,1500000,1816000,1366000,"1,973","4,61,67,05,364"
Jamaica,-3.18,29.37,10297.81,209.82,1329700,,,,,,,7,"82,978"
Japan,2.12,36.19,41536.25,54123.55,4115800,12000000,7300000,,,,,"2,000","18,42,66,42,146"
Jordan,-7.42,26.14,10252.51,2176.76,1240000,,,,,,,10,"13,75,790"
Kazakhstan,2.77,21.78,25868.18,1617.79,2035000,,,,,,,34,"2,88,19,388"
Kenya,-4.72,17.44,5203.6,1113.29,,,,,,,,19,"41,18,104"
Kiribati,-3.99,91.36,1923.62,,,,,,,,,1,0
Republic of Korea,1.79,26.98,45509.89,50226.95,2519000,,,,,,,"1,899","9,66,79,43,270"
Kosovo,-10.79,27.84,12316.83,,,,,,,,,12,"30,14,936"
Kuwait,28.49,52.24,43591.73,9024.34,2161000,,,,,,,7,"9,67,75,326"
Kyrgyz Republic,-26.79,38.53,5022.13,124.85,,,,,,,,7,"1,238"
Laos,-5.96,14.9,7797.81,,886400,,,,,,,4,"8,56,821"
Latvia,-6.31,35.62,32644.05,826.63,3204000,270000,410000,,,,,49,"5,36,99,230"
Lebanon,,,,,,,,,,,,47,"8,73,82,532"
Lesotho,-4.38,44.46,2625.82,37.04,,,,,,,,2,"3,355"
Liberia,-15.75,22.94,1431.23,14.05,,,,,,,,1,0
Libya,2.65,63.44,17241.88,,,,,,,,,3,"15,22,008"
Lithuania,-4.47,35.75,39895.98,1240.54,2284000,550000,605000,,,,,125,"2,73,60,005"
Luxembourg,4.02,43.09,117038.2,460.03,525000,,,,,,,120,"28,03,32,774"
Macao SAR,-23.53,25,46757.9,,,,,,,,,2,"25,021"
Madagascar,-5.58,13.57,1542.34,99.19,87100,,,,,,,1,0
Malawi,-3.59,14.03,1378.63,83.29,,,,,,,,1,0
Malaysia,2.64,18.97,29126.93,3830.23,4333000,,,,,,,43,"5,36,95,818"
Maldives,-18.11,29.71,28124.72,,555000,,,,,,,2,"9,93,251"
Mali,-6.93,19.91,2129.54,558.38,,,,,,,,2,"1,939"
Malta,0.66,35.64,49182.35,84.91,718000,,,,,,,16,"52,05,48,489"
Marshall Islands,-7.57,60.47,3727.84,,,,,,,,,,
Mauritania,-14.27,24.42,5939.24,230.94,,,,,,,,2,"68,17,760"
Mauritius,-13.49,23.85,22740.89,19.74,316000,,,,,,,1,"1,35,802"
Mexico,-0.95,25.8,19247.26,8680.83,51128000,,,,,,,620,"2,13,97,42,142"
Micronesia,1.06,68.03,3123.27,,,,,,,,,1,0
Moldova,-13.12,33.52,13226.4,52.29,29000,,,,,,,4,"64,211"
Monaco,,,228667.9,,159000,,,,,,,7,"60,56,333"
Mongolia,-15.76,35.17,11832.14,108.26,66900,,,,,,,19,"1,46,92,708"
Montenegro,-13.35,38.09,21958.1,98.63,351000,,,,,,,5,"78,33,027"
Morocco,-4.32,25.93,8365.89,5378.37,2802000,,,,,,,39,"22,96,69,117"
Mozambique,-35.98,29.16,1243.07,248.48,,,,,,,,2,"2,467"
Myanmar,-1.38,13.25,4104.77,2107.82,903000,,,,,,,6,"16,25,005"
Namibia,-13.46,30.06,9245.37,401.86,187100,,,,,,,4,"3,40,34,218"
Nauru,-0.55,155.9,9337.71,,,,,,,,,,
Nepal,-12.89,23.48,4039.86,445.2,230000,,,,,,,31,"18,93,678"
Netherlands,5.49,43.52,59253.15,13752.01,7265000,1500000,1900000,230000,339000,346000,59000,571,"1,40,55,13,353"
New Zealand,-8.88,38.99,43921.81,3389.85,996000,,,,,,,290,"7,41,34,12,918"
Nicaragua,-2.22,27.04,6081.46,77.92,474000,,,,,,,4,0
Niger,-15.53,15.03,1276.56,202.4,85000,,,,,,,1,0
Nigeria,-0.72,8.79,5004.24,4466.4,,,,,,,,88,"8,65,925"
North Macedonia,-5.96,30.43,16982.98,214.59,118000,,,,,,,,
Norway,30.36,60.92,66405.27,8251.72,1397000,494000,783000,195000,125000,169000,94000,232,"27,94,67,901"
Oman,3.25,35.36,34936.04,5783.62,869000,,,,,,,1,0
Pakistan,-4.62,12.06,5661.69,11304.83,,,,,,,,68,"1,64,13,610"
Palau,-69.61,41.88,12302.17,,18400,,,,,,,1,"4,43,291"
Panama,-4.12,18.84,31620.89,0,647000,,,,,,,12,"30,54,39,992"
Papua New Guinea,34.01,15.8,3626.3,88.72,39000,,,,,,,3,"22,87,136"
Paraguay,-5.18,20.18,12325.05,372.6,1077000,,,,,,,17,"16,57,40,252"
Peru,-4.49,21.77,12979.36,2360.61,1119000,,,,,,,44,"9,69,00,282"
Philippines,-4.41,21.58,8890.19,4090.52,1483000,11600000,,,,,,173,"12,81,11,926"
Poland,-3.15,41,36824.34,13710.68,,8019000,7125000,1144000,380000,1217000,215000,359,"71,52,59,903"
Portugal,-1.34,43.75,36107.3,4908.94,4208000,2605000,1795000,641000,83000,218000,39000,364,"6,52,04,952"
Puerto Rico,,21.86,35267.28,,3882000,,,,,,,21,"46,52,889"
Qatar,25.98,39.63,97433.55,11593.41,582000,,,,,,,68,"1,54,18,276"
Republic of Congo,21.16,31.34,4140.9,313.06,,,,,,,,,
Romania,-9.28,30.98,32793.82,5563.28,5023000,,4371000,292000,150000,93000,32000,216,"23,26,74,822"
Russia,10.27,34.31,28170.79,65907.71,6359000,,23150000,3280000,3750000,6601000,1076000,"1,337","2,76,06,27,680"
Rwanda,-11.62,25.22,2427.74,164.02,,,,,,,,4,"2,61,759"
Samoa,-11.63,38.51,4944.8,,23900,,,,,,,1,"4,266"
San Marino,4.35,22.02,63803,,,,,,,,,,
Saudi Arabia,13.79,30.57,52345.98,55564.27,,,,,,,,22,"1,80,43,536"
Senegal,-16,20.74,3494.56,473.97,,,,,,,,20,"66,42,683"
Serbia,-6.86,43.38,20258.03,1270.78,446000,,,,,,,61,"1,88,83,910"
Seychelles,-7.26,31.88,31411.05,22.82,124500,,,,,,,,
Sierra Leone,-10.26,19.32,1681.63,27.27,,,,,,,,1,0
